CCG21CD,CCG21NM,ambo21
E38000007,NHS Basildon and Brentwood CCG,EEAST
E38000026,NHS Cambridgeshire and Peterborough CCG,EEAST
E38000030,NHS Castle Point and Rochford CCG,EEAST
E38000049,NHS East and North Hertfordshire CCG,EEAST
E38000079,NHS Herts Valleys CCG,EEAST
E38000086,NHS Ipswich and East Suffolk CCG,EEAST
E38000106,NHS Mid Essex CCG,EEAST
E38000239,NHS Norfolk and Waveney CCG,EEAST
E38000117,NHS North East Essex CCG,EEAST
E38000168,NHS Southend CCG,EEAST
E38000185,NHS Thurrock CCG,EEAST
E38000197,NHS West Essex CCG,EEAST
E38000204,NHS West Suffolk CCG,EEAST
E38000008,NHS Bassetlaw CCG,EMAS
E38000229,NHS Derby and Derbyshire CCG,EMAS
E38000051,NHS East Leicestershire and Rutland CCG,EMAS
E38000097,NHS Leicester City CCG,EMAS
E38000238,NHS Lincolnshire CCG,EMAS
E38000119,NHS North East Lincolnshire CCG,EMAS
E38000122,NHS North Lincolnshire CCG,EMAS
E38000242,NHS Northamptonshire CCG,EMAS
E38000243,NHS Nottingham and Nottinghamshire CCG,EMAS
E38000201,NHS West Leicestershire CCG,EMAS
E38000240,NHS North Central London CCG,LAS
E38000255,NHS North East London CCG,LAS
E38000256,NHS North West London CCG,LAS
E38000244,NHS South East London CCG,LAS
E38000245,NHS South West London CCG,LAS
E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",multiple
E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",multiple
E38000234,NHS County Durham CCG,NEAS
E38000212,NHS Newcastle Gateshead CCG,NEAS
E38000127,NHS North Tyneside CCG,NEAS
E38000130,NHS Northumberland CCG,NEAS
E38000163,NHS South Tyneside CCG,NEAS
E38000176,NHS Sunderland CCG,NEAS
E38000247,NHS Tees Valley CCG,NEAS
E38000014,NHS Blackburn with Darwen CCG,NWAS
E38000015,NHS Blackpool CCG,NWAS
E38000016,NHS Bolton CCG,NWAS
E38000024,NHS Bury CCG,NWAS
E38000233,NHS Cheshire CCG,NWAS
E38000034,NHS Chorley and South Ribble CCG,NWAS
E38000050,NHS East Lancashire CCG,NWAS
E38000226,NHS Fylde and Wyre CCG,NWAS
E38000227,NHS Greater Preston CCG,NWAS
E38000068,NHS Halton CCG,NWAS
E38000080,"NHS Heywood, Middleton and Rochdale CCG",NWAS
E38000091,NHS Knowsley CCG,NWAS
E38000101,NHS Liverpool CCG,NWAS
E38000217,NHS Manchester CCG,NWAS
E38000228,NHS Morecambe Bay CCG,NWAS
E38000215,NHS North Cumbria CCG,NWAS
E38000135,NHS Oldham CCG,NWAS
E38000143,NHS Salford CCG,NWAS
E38000161,NHS South Sefton CCG,NWAS
E38000170,NHS Southport and Formby CCG,NWAS
E38000172,NHS St Helens CCG,NWAS
E38000174,NHS Stockport CCG,NWAS
E38000182,NHS Tameside and Glossop CCG,NWAS
E38000187,NHS Trafford CCG,NWAS
E38000194,NHS Warrington CCG,NWAS
E38000200,NHS West Lancashire CCG,NWAS
E38000205,NHS Wigan Borough CCG,NWAS
E38000208,NHS Wirral CCG,NWAS
E38000221,NHS Berkshire West CCG,SCAS
E38000223,NHS Buckinghamshire CCG,SCAS
E38000136,NHS Oxfordshire CCG,SCAS
E38000137,NHS Portsmouth CCG,SCAS
E38000021,NHS Brighton and Hove CCG,SECAmb
E38000235,NHS East Sussex CCG,SECAmb
E38000252,NHS Frimley CCG,SECAmb
E38000237,NHS Kent and Medway CCG,SECAmb
E38000246,NHS Surrey Heartlands CCG,SECAmb
E38000248,NHS West Sussex CCG,SECAmb
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",SWAS
E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",SWAS
E38000230,NHS Devon CCG,SWAS
E38000045,NHS Dorset CCG,SWAS
E38000062,NHS Gloucestershire CCG,SWAS
E38000089,NHS Kernow CCG,SWAS
E38000150,NHS Somerset CCG,SWAS
E38000220,NHS Birmingham and Solihull CCG,WMAS
E38000250,NHS Black Country and West Birmingham CCG,WMAS
E38000028,NHS Cannock Chase CCG,WMAS
E38000251,NHS Coventry and Warwickshire CCG,WMAS
E38000053,NHS East Staffordshire CCG,WMAS
E38000236,NHS Herefordshire and Worcestershire CCG,WMAS
E38000126,NHS North Staffordshire CCG,WMAS
E38000257,"NHS Shropshire, Telford and Wrekin CCG",WMAS
E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,WMAS
E38000173,NHS Stafford and Surrounds CCG,WMAS
E38000175,NHS Stoke on Trent CCG,WMAS
E38000006,NHS Barnsley CCG,YAS
E38000232,NHS Bradford District and Craven CCG,YAS
E38000025,NHS Calderdale CCG,YAS
E38000044,NHS Doncaster CCG,YAS
E38000052,NHS East Riding of Yorkshire CCG,YAS
E38000085,NHS Hull CCG,YAS
E38000254,NHS Kirklees CCG,YAS
E38000225,NHS Leeds CCG,YAS
E38000241,NHS North Yorkshire CCG,YAS
E38000141,NHS Rotherham CCG,YAS
E38000146,NHS Sheffield CCG,YAS
E38000188,NHS Vale of York CCG,YAS
E38000190,NHS Wakefield CCG,YAS
