LSOA_Code,LSOA_Name,WIMD2019_Score,Income_Score,Employment_Score,Health_Score,Education_Score,AccessServices_Score,Housing_Score,CommunitySafety_Score,PhysicalEnvironment_Score
W01000001,Aberffraw & Rhosneigr 1,19.2,17.0,23.9,10.3,13.4,47.5,16.1,16.6,0.6
W01000002,Aberffraw & Rhosneigr 2,12.2,13.6,9.2,8.6,4.1,22.8,40.5,3.8,0.2
W01000003,Amlwch Port,26.8,34.2,33.8,23.4,25.5,20.6,20.6,23.7,1.7
W01000004,Amlwch Rural,15.5,12.0,14.5,8.5,20.0,43.7,10.0,9.0,1.0
W01000005,Beaumaris,16.0,16.6,10.2,6.6,38.7,10.4,20.0,19.7,5.3
W01000006,Bodffordd,15.2,9.7,14.6,11.5,10.5,44.9,27.1,6.1,0.3
W01000007,Bodorgan,16.4,11.2,10.9,6.4,8.4,48.5,57.3,8.2,3.6
W01000008,Braint,3.7,4.9,3.4,4.7,1.9,1.4,6.2,2.1,3.9
W01000009,Bryngwran,20.4,19.4,20.5,14.8,15.9,39.4,37.9,8.0,3.8
W01000010,Brynteg,7.2,7.8,8.4,3.9,8.5,11.2,6.4,3.7,3.0
W01000011,Cadnant (Isle of Anglesey),11.4,7.1,10.7,1.7,4.5,0.7,43.7,65.7,2.5
W01000012,Cefni,9.4,9.1,9.9,13.9,5.2,4.9,1.3,34.7,0.8
W01000013,Cwm Cadnant,4.2,2.0,3.8,1.0,1.8,21.1,3.3,1.9,1.0
W01000014,Cyngar,14.1,16.4,19.8,14.0,7.6,11.1,4.7,28.2,2.3
W01000015,Gwyngyll,5.7,5.1,6.6,12.9,2.8,1.5,1.7,4.2,6.9
W01000016,Holyhead Town,46.1,62.6,60.9,37.4,38.5,10.6,34.6,78.4,10.5
W01000017,Kingsland,28.7,40.9,27.8,23.6,40.1,16.3,12.9,36.7,2.2
W01000018,Llanbadrig,14.8,20.8,19.2,11.3,15.3,7.9,12.9,8.1,1.0
W01000019,Llanbedrgoch,13.5,9.3,13.4,10.2,24.9,15.4,11.4,8.4,14.9
W01000020,Llanddyfnan,10.6,4.3,5.8,4.1,3.6,55.0,22.0,4.9,0.4
W01000021,Llaneilian,16.3,12.9,14.9,11.2,8.7,50.3,26.9,2.8,4.1
W01000022,Llanfaethlu,19.8,15.5,9.9,12.6,16.2,61.6,46.6,7.9,3.8
W01000023,Llanfair-yn-Neubwll 1,17.4,17.6,11.2,23.1,19.3,36.1,11.6,7.2,1.8
