from_postcode,B152TH,B714HJ,B95SS,BA13NG,BA214AT,BB23HH,BD96RJ,BH152JB,BH77DW,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,BS28HW,CA27HY,CA288JG,CB20QQ,CF144XW,CF311RQ,CF479DT,CH21UL,CH495PE,CM17ET,CO45JL,CT13NG,CT94AN,CV107DJ,CV22DX,CV345BW,CW14QJ,DA28DA,DE130RB,DE223NE,DH15TW,DN157BH,DN25LT,DT12JY,DY12HQ,E11BB,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,GU27XX,HA13UJ,HG27SX,HP112TT,HR12ER,HU32JZ,HX30PW,IP332QZ,IP45PD,KT160PZ,KT187EG,L355DR,L78XP,L97AL,LA144LF,LA14RP,LE15WW,LL137TD,LL185UJ,LL572PW,LN25QY,LS13EX,LU40DZ,M68HD,ME169QQ,ME75NY,MK429DJ,MK65LD,NE14LP,NE236NZ,NE340PL,NE96SX,NG174JL,NG51PB,NG72UH,NN15BD,NP202UB,NP448YN,NR316LA,NR47UY,NW12BU,OX169AL,OX39DU,PE219QS,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,PR86PN,RG15AN,RH15RH,RH164EX,RM70AG,S102JF,S445BL,S602UD,S752EP,SA148QF,SA312AF,SA612PZ,SA66NL,SE59RW,SG14AB,SK27JE,SL24HL,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST46QG,SW170QT,SW66SX,SY231ER,TA15DA,TF16TF,TN240LZ,TN24QJ,TQ27AA,TR13LQ,TS198PE,TS43BW,WA51QG,WD180HB,WF14DG,WR51DD,WS29PS,WV100QP,YO318HE
B152TH,0,12.4,10.4,150.8,235,182.2,209.7,265.9,255.1,162.6,263.1,299.2,272.3,251,129,163.6,133.7,314.4,351.9,170.8,163.1,190.9,160.7,154.4,169,238.7,277.9,302.4,325.8,45.6,47.5,44.3,96.2,234.8,56.8,70.1,317.5,194.6,159.7,264.4,17.6,198,247.5,278.6,202.6,80.2,199.1,205.3,177.1,227.1,143.1,84.4,226.5,194.9,209.8,251.5,184.1,205.6,144.5,156.7,159,277,205.8,75.7,127.7,197.1,248,150.8,199.3,141.4,147.9,264,261.3,138,121.8,337.6,351.4,337.9,331.3,111.7,96.8,89.2,101.9,145.5,149.3,298.4,258.1,187.8,72.3,111.8,181.5,199.6,141.4,317.5,264.4,266.4,240.7,180,169.2,177,218.5,260.2,222.3,142.9,125,145.3,165.7,222.8,248.7,293,209.2,198.2,168.4,140.4,161.8,127.4,214.6,194.9,189,327.9,246.3,232.2,71.7,197.2,189.1,196.3,201.2,59.1,297.3,258.8,277.6,393.9,290.9,286.5,134.6,172,182.4,37.8,19.3,26.9,220.4
B714HJ,12.1,0,19.8,159.2,243.4,175.8,203.3,284.6,273.8,156.3,281.8,317.9,291,255.7,137.4,171.9,142,308.1,345.5,172.6,171.4,199.2,169,148.1,162.7,240.5,279.7,304.2,327.6,47.4,49.3,58.3,89.8,236.7,63.4,76.7,319.3,196.4,161.5,272.7,11.7,199.8,255.8,286.9,196.2,88.5,217.8,224,182.5,228.9,161.8,92.7,228.3,188.6,211.6,253.3,202.8,224.3,138.1,150.3,152.7,270.6,199.5,77.5,121.3,190.7,241.6,152.6,209.1,143.2,141.6,270.3,263.1,139.9,123.6,339.4,353.2,339.8,333.1,113.5,98.6,91,103.7,153.9,157.7,300.2,259.9,196.1,90.9,130.5,183.3,201.4,143.2,325.8,283.1,285.1,259.4,173.6,162.8,195.7,237.2,278.9,224.1,144.7,126.8,147.1,167.5,231.1,257,301.4,217.5,203,170.2,134,180.4,135.7,233.3,213.5,197.4,329.8,248.1,234,65.3,211.9,207.7,190,209.5,52.7,298.9,275.4,286,402.3,292.7,288.3,128.2,173.8,184.2,46.2,12.9,15.3,222.2
B95SS,10.5,19.5,0.2,162,246.2,184.8,201.8,269.3,258.6,165.2,266.5,302.7,275.8,242.8,140.3,174.8,144.9,317,354.5,159.7,174.3,202.1,171.9,157,171.6,227.6,266.9,291.4,314.7,34.5,36.4,41.6,98.7,223.8,47.2,60.5,306.4,183.5,148.6,275.6,24.3,186.9,258.7,289.8,205.1,91.4,202.6,208.8,169.6,216,146.6,95.6,215.4,197.5,198.7,240.4,187.6,209.1,147.1,159.2,161.6,279.6,208.4,64.6,130.2,199.7,250.5,139.7,188.2,130.3,150.5,257.4,250.3,127,110.7,326.5,340.3,326.9,320.2,100.6,85.7,78.1,90.8,156.8,160.6,287.3,247,183.2,75.7,115.3,170.4,188.5,130.4,328.7,267.9,269.9,244.2,182.6,171.7,180.5,221.9,263.7,211.2,131.8,114,134.3,154.6,234,259.9,304.2,220.4,190.1,157.3,143,165.2,138.6,218,198.3,226.7,316.9,235.2,221.1,74.3,200.7,192.5,198.9,212.4,61.7,286,262.2,288.9,405.2,279.8,275.4,137.1,160.9,171.3,49.1,21.8,29.5,209.3
BA13NG,151.3,159.7,162.7,0,65.6,329.5,357,97.6,105.4,310,187.2,275.6,248.7,227.3,24.1,74.1,19.2,461.8,499.2,260.5,84.3,112.1,119.9,301.8,316.4,263.5,302.7,288.6,311.9,193.6,195.5,152.1,243.5,233,216.2,229.5,470.2,347.4,312.4,97.3,159.2,190.7,157.9,189,349.9,79.7,152.4,172.1,175.1,379.8,156.4,123.7,379.2,342.3,308.5,332.3,160.5,182,291.8,304,306.4,424.3,353.2,223.7,275,344.4,395.3,312.9,352,208.4,295.3,240.4,251.7,194.3,169.4,490.3,504.1,490.7,484.1,264.4,249.6,241.9,177.1,66.6,70.5,397.1,356.8,185.9,150.4,118.6,296.9,298.3,242.7,227.9,154.7,156.7,131,327.3,316.5,123.9,194.8,236.6,215.2,295.6,277.8,298.1,318.4,163.2,189.1,233.4,149.6,187,220.2,287.7,153.2,62.6,101.4,110.1,68.9,480.7,271.1,256.9,219,191.1,177.8,222.4,111.6,206.4,273.6,235.1,188.1,304.4,443.7,439.2,281.9,182.3,335.1,117,166.6,174.3,373.1
BA214AT,235.6,244,247,65.3,0,413.8,441.3,70.3,82.1,394.2,202.2,251.1,222.1,241.3,73.3,78.4,67.5,546,583.5,284.6,158.4,186.2,194,386.1,400.6,287.6,326.8,302.5,325.8,277.8,279.8,236.4,327.8,246.9,300.5,313.8,554.5,431.6,396.7,32.6,243.4,214.6,76.6,122.5,434.2,164,152.4,172.1,199.1,464.1,188.6,197.8,463.5,426.5,332.6,356.4,174.4,195.9,376.1,388.3,390.6,508.6,437.4,308,359.3,428.7,479.6,397.2,436.3,232.5,379.6,254.3,265.7,266.3,260.3,574.6,588.4,575,568.3,348.7,333.8,326.2,248.1,140.7,144.6,421.2,380.9,209.8,221.4,184.8,380.2,361.4,326.1,146.6,169.6,171.6,146,411.6,400.8,155.9,208.8,250.5,239.1,379.9,362,382.4,402.7,237.2,263.1,307.5,223.7,210.9,244.3,372,189.2,128,116.4,120.1,78.9,565,287.1,270.3,303.3,205,201.7,296.5,45.1,290.7,287.6,249.1,106.8,223,527.9,523.5,366.2,206.4,419.4,201.3,250.9,258.6,457.4
BB23HH,182.1,176.6,184.7,329.1,413.3,0,63,452.5,441.7,28.2,449.7,485.8,458.9,420.6,307.4,341.9,312,165,202.5,337.5,341.4,369.2,339,100.8,81.3,405.4,444.6,469.2,492.5,212.3,214.2,223.2,96,401.6,160.7,165.2,182.3,163.8,132,442.7,178.6,364.7,425.8,456.9,53.2,258.5,385.7,391.9,347.4,83,329.7,262.7,174.6,69.5,376.5,418.2,370.7,392.2,68.4,68.6,64.5,127.6,56.4,212,120.5,143.4,194.3,195,90,308.1,55.3,435.2,428.1,304.8,288.5,202.4,216.2,202.7,196.1,147.5,168.5,169.3,268.6,323.8,327.7,392.7,348.8,361,258.8,298.4,245.8,288.6,265.1,495.8,451,453,427.3,30.6,51.1,363.6,405.1,446.8,389,102.6,136.5,111.6,113.1,401.1,321,371.5,387.5,367.9,335.1,57.6,348.4,305.7,401.2,381.5,367.4,192.7,413,398.9,113.2,376.8,375.7,247.7,379.5,159.4,463.8,440.3,456,572.2,174.8,159.1,58.4,338.7,98.1,216.1,164.8,163.9,134.7
BD96RJ,208.2,202.7,201.8,355.2,439.4,63.3,0.3,441.3,430.6,57.7,420.8,457,430.1,385.9,333.4,368,338.1,167.8,205.3,262.4,367.5,395.3,365.1,126.8,141.4,319.4,349.4,434.4,457.7,197.6,201.5,219.2,122.1,366.8,153,137.9,141.1,100.3,68.4,468.8,204.6,330,451.9,483,130.8,284.5,356.8,363.1,312.6,35.3,318.6,288.7,111,15.3,301.4,343.1,341.9,363.4,97.8,110,112.3,134.8,134.1,173.1,146.6,169.5,220.4,131.4,18.6,273.3,70.7,400.4,393.3,270,253.8,161.3,175.1,161.6,155,109.9,130.9,131.8,233.8,349.9,353.7,329.2,285.2,326.2,256.9,287.3,182.3,225,201.5,521.8,440.8,453.7,416.2,108.3,122.5,352.5,376.2,418,354.2,72.6,99,74,49.5,427.1,347.1,397.6,413.6,333.2,272.3,73.7,326.5,331.8,390,370.3,398.7,151.6,378.2,364.1,139.3,342.1,334.1,273.8,405.6,185.4,429.1,405.6,482,598.3,114.6,110.1,87.9,304,34.5,242.2,190.9,190,71.2
BH152JB,266,287,268.7,98,70.7,451.6,441.6,0.3,12.7,432,143,192,163,212.4,129.3,145.9,115.4,583.8,621.3,255.6,179.9,207.7,215.5,423.8,438.4,258.6,297.9,273.6,296.9,261.1,253,229.1,365.5,218,307.2,320.5,546.1,423.3,388.3,39.3,286.4,185.7,125.6,190,471.9,207.3,123.5,127.2,170.2,455.8,159.7,219.3,455.1,448.7,303.7,327.5,145.5,167,413.9,426.1,428.4,546.4,475.2,276.1,397,466.5,517.3,365.5,428,203.6,417.3,225.4,236.7,237.4,231.4,566.3,580.1,566.6,560,340.4,325.5,317.9,227.1,162.2,166.1,392.3,352,180.9,200.5,163.9,351.3,332.5,297.1,195.6,110.5,112.5,86.8,449.4,438.5,126.9,179.9,176.2,210.2,371.5,353.7,374,394.3,258.7,284.6,329,245.2,182,215.4,409.8,160.3,152.4,57.2,71.2,50.5,556.6,258.2,241.4,341.1,176.1,172.8,318,112.6,328.5,258.6,220.1,155.7,272,519.6,515.1,404,177.5,411.1,244.8,288.6,296.3,449.1
BH77DW,255.2,276.2,257.8,105.7,83.2,440.7,430.7,13.1,0,421.1,132.2,181.1,152.1,201.5,204.8,158.4,205.6,572.9,610.4,244.8,255.3,283.1,291,413,427.5,247.8,287,262.7,286,250.2,242.1,218.2,354.7,207.1,296.4,309.7,535.3,412.4,377.5,51.7,275.6,174.8,138.1,202.5,461.1,196.4,112.6,116.3,159.3,444.9,148.9,262.5,444.3,437.9,292.8,316.6,134.6,156.1,403,415.2,417.5,535.5,464.4,265.2,386.2,455.6,506.5,354.6,417.1,192.7,406.5,214.5,225.9,226.6,220.5,555.4,569.2,555.7,549.1,329.5,314.6,307,216.3,237.6,241.6,381.4,341.1,170,189.6,153,340.4,321.6,286.3,208,99.6,101.6,76,438.5,427.7,116.1,169,165.3,199.3,360.7,342.8,363.1,383.4,334.2,360.1,404.4,320.6,171.1,204.6,398.9,149.5,141.5,46.4,60.3,39.7,545.7,247.4,230.5,330.2,165.2,161.9,393.4,125.1,317.6,247.8,209.3,168.2,284.5,508.7,504.3,393.1,166.6,400.2,234,277.8,285.5,438.2
BL97TD,161.7,156.2,164.3,308.7,392.9,28,55.5,432,421.3,0.2,429.2,465.4,438.5,400.2,286.9,321.5,291.5,196.2,233.7,297.2,320.9,348.8,318.6,80.3,94.9,385,384.3,448.7,472,191.8,193.8,202.8,75.5,381.1,140.3,144.7,203.1,135.1,103.3,422.3,158.1,344.3,405.4,436.5,84.3,238,365.2,371.5,327,89.5,309.3,242.2,145.8,40.8,336.3,378,350.3,371.8,51.3,63.5,65.8,158.8,87.6,191.6,100.1,123,173.8,166.3,61.3,287.6,24.2,414.7,407.6,284.3,268.1,223.2,237,223.5,216.9,144.8,165.8,166.6,248.2,303.4,307.2,364,320,340.5,238.4,278,217.1,259.9,236.4,475.3,430.5,432.6,406.9,61.8,75.9,343.2,384.6,426.4,368.5,80.5,133.8,108.9,84.4,380.6,300.5,351.1,367.1,347.5,314.7,35.5,327.9,285.3,380.7,361,346.9,213.5,392.6,378.4,92.8,356.4,355.2,227.3,359.1,138.9,443.4,419.9,435.5,551.8,176.5,172.1,41.4,318.3,69.4,195.7,144.4,143.4,106
BN112DH,262.9,283.9,265.6,187.3,202.4,448.5,420.6,142.4,131.7,428.9,0,52.7,23.6,101.2,246.3,286.6,247.1,580.7,618.2,198.9,296.8,324.7,332.5,420.7,435.3,151.5,190.7,162.4,185.7,255.9,246.9,226,362.5,106.9,304.2,299.1,525.1,402.3,367.3,170.9,283.4,124.7,257.3,312.4,468.9,238,104.3,64.1,115.1,434.8,124.5,304,434.1,427.7,238.6,220.3,82.7,66.6,410.8,423,425.3,543.3,472.1,255.1,393.9,463.4,514.3,344.5,406.9,148.6,414.2,114.3,125.6,182.4,176.4,545.2,559,545.6,539,319.3,304.5,296.9,200.5,279.2,283.1,327.2,287,101.6,197.4,161.2,296.3,278,242.1,327.2,32.6,85,59.2,446.3,435.4,120.3,64.2,34.6,131.9,350.5,332.7,353,373.3,375.7,401.6,446,362.1,92.4,160.4,406.7,105.3,183.1,89.7,101.9,122.6,535.6,147.1,130.3,338,93.1,86.6,434.9,235,325.4,147.5,73.9,287.4,403.7,498.6,494.1,400.9,122.5,390,281,285.6,293.2,428.1
BN212UD,299,320,301.7,274.4,251.4,484.6,456.7,191.4,180.7,465,52.6,0,37.1,85.6,279.8,320.1,280.6,616.8,654.3,183.2,330.3,358.2,366,456.9,471.4,135.8,175.1,99.8,141.8,292,283.1,262.1,398.6,91.2,340.3,335.2,561.2,438.4,403.4,219.9,319.5,109.1,306.3,361.4,505,271.5,140.4,124.5,151.3,470.9,160.6,337.5,470.2,463.8,223,204.7,118.8,104,446.9,459.1,461.4,579.4,508.2,291.2,430.1,499.5,550.4,342.8,443,184.7,450.3,69.9,91.6,218.5,212.5,581.4,595.1,581.7,575.1,355.4,340.6,333,236.6,312.7,316.6,311.6,271.3,118.7,233.5,197.4,303.4,262.4,249.2,376.2,81.6,134,108.2,482.4,471.6,156.4,81.3,45.7,116.3,386.6,368.8,389.1,409.4,409.2,435.1,479.5,395.7,109.5,196.5,442.8,141.4,216.6,138.7,150.9,171.6,571.7,131.4,114.6,374.1,110.1,117.5,468.5,284,361.5,76.5,49.1,336.4,452.7,534.7,530.2,437,158.6,426.2,317.1,321.7,329.3,464.2
