from_postcode,B152TH,B714HJ,B95SS,BA13NG,BA214AT,BB23HH,BD96RJ,BH152JB,BH77DW,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,BS28HW,CA27HY,CA288JG,CB20QQ,CF144XW,CF311RQ,CF479DT,CH21UL,CH495PE,CM17ET,CO45JL,CT13NG,CT94AN,CV107DJ,CV22DX,CV345BW,CW14QJ,DA28DA,DE130RB,DE223NE,DH15TW,DN157BH,DN25LT,DT12JY,DY12HQ,E11BB,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,GU27XX,HA13UJ,HG27SX,HP112TT,HR12ER,HU32JZ,HX30PW,IP332QZ,IP45PD,KT160PZ,KT187EG,L355DR,L78XP,L97AL,LA144LF,LA14RP,LE15WW,LL137TD,LL185UJ,LL572PW,LN25QY,LS13EX,LU40DZ,M68HD,ME169QQ,ME75NY,MK429DJ,MK65LD,NE14LP,NE236NZ,NE340PL,NE96SX,NG174JL,NG51PB,NG72UH,NN15BD,NP202UB,NP448YN,NR316LA,NR47UY,NW12BU,OX169AL,OX39DU,PE219QS,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,PR86PN,RG15AN,RH15RH,RH164EX,RM70AG,S102JF,S445BL,S602UD,S752EP,SA148QF,SA312AF,SA612PZ,SA66NL,SE59RW,SG14AB,SK27JE,SL24HL,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST46QG,SW170QT,SW66SX,SY231ER,TA15DA,TF16TF,TN240LZ,TN24QJ,TQ27AA,TR13LQ,TS198PE,TS43BW,WA51QG,WD180HB,WF14DG,WR51DD,WS29PS,WV100QP,YO318HE
B152TH,6.3,18.1,19.2,107.4,155.7,116,134.2,183.7,172.9,105.2,176.2,193.4,178.3,161.1,92.3,110.6,92.3,193.4,221.3,123.5,117,132.1,116,100.9,107.4,156.8,179.4,192.3,211.6,40.7,42.9,40.7,68.7,150.4,52.5,60.1,199.8,127.8,107.4,176.2,21.4,140.7,159,182.6,129.9,62.2,128.9,133.2,119.2,149.3,96.6,73,148.2,123.5,148.2,179.4,120.3,134.2,95.5,104.1,102,176.2,132.1,59,90.2,127.8,163.3,113.8,132.1,94.5,95.5,165.4,168.6,95.5,83.7,213.8,223.5,211.6,208.4,80.5,75.1,69.7,73,105.2,107.4,209.5,181.5,131,56.8,81.6,135.3,141.8,103.1,203,179.4,249.3,163.3,113.8,114.9,117,142.8,166.5,143.9,105.2,89.1,99.8,111.7,155.7,171.9,204.1,147.1,141.8,116,95.5,109.5,92.3,149.3,137.5,146.1,208.4,160,149.3,52.5,141.8,128.9,145,132.1,45,184.8,164.3,177.2,255.7,192.3,188,89.1,113.8,123.5,36.4,21.4,27.8,149.3
B714HJ,18.1,6.3,23.5,106.3,154.7,110.6,128.9,190.1,179.4,98.8,182.6,199.8,184.8,161.1,91.2,109.5,91.2,186.9,214.9,120.3,116,131,114.9,94.5,100.9,153.6,176.2,189.1,208.4,37.5,39.6,48.2,62.2,147.1,47.2,55.8,197.7,125.6,105.2,175.1,18.1,138.5,157.9,181.5,124.6,61.1,135.3,139.6,120.3,146.1,103.1,71.9,145,118.1,146.1,176.2,126.7,140.7,89.1,97.7,96.6,170.8,126.7,55.8,83.7,122.4,157.9,110.6,128.9,92.3,90.2,166.5,165.4,92.3,80.5,210.6,220.2,209.5,205.2,78.3,71.9,66.5,69.7,104.1,106.3,206.3,178.3,129.9,62.2,88,132.1,138.5,99.8,202,185.8,255.7,169.7,108.4,108.4,123.5,149.3,172.9,140.7,102,86.9,96.6,108.4,154.7,170.8,203,146.1,141.8,112.7,89.1,116,91.2,155.7,143.9,145,205.2,157.9,146.1,47.2,149.3,135.3,138.5,132.1,39.6,184.8,170.8,176.2,254.6,189.1,184.8,83.7,111.7,120.3,35.3,16,20.3,146.1
B95SS,19.2,23.5,6.3,114.9,163.3,117,131,182.6,171.9,106.3,175.1,192.3,177.2,153.6,99.8,118.1,99.8,194.4,222.4,112.7,124.6,139.6,123.5,102,108.4,146.1,168.6,181.5,200.9,28.9,32.1,39.6,69.7,139.6,40.7,49.3,189.1,117,96.6,183.7,27.8,129.9,166.5,190.1,131,69.7,127.8,132.1,111.7,137.5,95.5,80.5,137.5,125.6,137.5,168.6,118.1,133.2,96.6,105.2,104.1,178.3,133.2,48.2,91.2,129.9,164.3,103.1,121.3,83.7,97.7,159,157.9,84.8,73,203,212.7,200.9,197.7,69.7,64.4,59,62.2,112.7,114.9,198.7,170.8,121.3,54.7,80.5,124.6,131,92.3,210.6,177.2,248.2,161.1,114.9,116,116,141.8,165.4,133.2,94.5,78.3,89.1,100.9,162.2,179.4,211.6,154.7,133.2,105.2,96.6,108.4,99.8,148.2,136.4,156.8,197.7,149.3,138.5,53.6,140.7,126.7,146.1,139.6,46.1,177.2,162.2,184.8,263.2,181.5,177.2,91.2,103.1,112.7,43.9,23.5,28.9,138.5
BA13NG,108.4,107.4,116,6.3,62.2,205.2,223.5,89.1,94.5,194.4,145,181.5,166.5,149.3,33.2,60.1,27.8,282.6,310.5,170.8,67.6,82.6,92.3,189.1,196.6,169.7,192.3,183.7,203,125.6,127.8,109.5,157.9,149.3,141.8,150.4,289,217,196.6,85.9,107.4,138.5,107.4,131,219.2,61.1,103.1,117,118.1,237.4,104.1,95.5,237.4,212.7,199.8,212.7,107.4,121.3,184.8,192.3,191.2,265.4,221.3,145,179.4,217,252.5,203,221.3,132.1,184.8,153.6,163.3,140.7,123.5,303,312.7,300.9,297.6,169.7,164.3,159,128.9,55.8,57.9,261.1,233.1,129.9,108.4,91.2,211.6,211.6,174,152.5,122.4,193.4,106.3,203,203,85.9,129.9,154.7,154.7,194.4,178.3,189.1,200.9,112.7,129.9,162.2,105.2,134.2,139.6,183.7,102,48.2,90.2,90.2,65.4,297.6,172.9,162.2,141.8,134.2,120.3,172.9,81.6,134.2,171.9,151.4,126.7,205.2,281.5,277.2,178.3,122.4,212.7,82.6,110.6,117,237.4
BA214AT,155.7,154.7,163.3,62.2,6.3,253.6,271.8,59,70.8,241.7,145,180.5,164.3,162.2,74,62.2,66.5,329.9,357.8,192.3,109.5,124.6,134.2,237.4,243.9,191.2,213.8,196.6,215.9,174,176.2,157.9,205.2,162.2,190.1,197.7,337.4,265.4,245,31,154.7,160,65.4,92.3,267.5,109.5,107.4,121.3,139.6,285.8,135.3,137.5,285.8,261.1,221.3,234.2,120.3,135.3,232.1,240.7,239.6,313.8,269.7,192.3,227.8,265.4,300.9,251.4,269.7,153.6,233.1,166.5,176.2,175.1,169.7,350.3,360,349.2,344.9,218.1,211.6,206.3,176.2,97.7,99.8,282.6,254.6,151.4,155.7,136.4,251.4,242.8,213.8,109.5,122.4,193.4,106.3,251.4,251.4,117,143.9,167.6,175.1,241.7,226.7,236.4,248.2,154.7,171.9,204.1,147.1,154.7,161.1,232.1,131,96.6,90.2,91.2,66.5,346,191.2,178.3,190.1,148.2,141.8,214.9,42.9,182.6,184.8,164.3,83.7,162.2,328.8,324.5,226.7,143.9,260,131,159,165.4,285.8
BB23HH,116,110.6,117,205.2,252.5,6.3,56.8,285.8,275.1,31,278.3,295.5,280.4,255.7,190.1,208.4,190.1,106.3,134.2,213.8,214.9,229.9,212.7,68.7,65.4,247.1,270.8,283.7,301.9,131,133.2,141.8,69.7,240.7,111.7,111.7,128.9,107.4,92.3,272.9,114.9,232.1,255.7,279.4,42.9,159,231,235.3,213.8,68.7,198.7,169.7,116,54.7,239.6,269.7,221.3,236.4,51.5,55.8,47.2,90.2,45,145,80.5,96.6,131,133.2,65.4,185.8,41.8,260,258.9,185.8,175.1,141.8,151.4,140.7,136.4,108.4,120.3,121.3,164.3,203,204.1,267.5,236.4,223.5,157.9,183.7,166.5,194.4,178.3,300.9,280.4,351.4,264.3,26.7,49.3,219.2,245,268.6,234.2,82.6,100.9,84.8,78.3,252.5,225.6,262.2,243.9,235.3,206.3,49.3,211.6,190.1,251.4,238.5,242.8,137.5,251.4,239.6,77.3,242.8,229.9,176.2,229.9,106.3,278.3,264.3,275.1,353.5,125.6,121.3,45,205.2,70.8,134.2,104.1,108.4,95.5
BD96RJ,133.2,128.9,131,222.4,270.8,56.8,6.3,285.8,275.1,47.2,264.3,281.5,266.5,237.4,207.3,225.6,207.3,122.4,150.4,180.5,232.1,247.1,231,85.9,93.4,215.9,235.3,265.4,284.7,126.7,128.9,140.7,86.9,223.5,104.1,94.5,102,69.7,55.8,291.2,133.2,214.9,274,297.6,90.2,177.2,217,221.3,196.6,40.7,198.7,188,78.3,25.7,206.3,236.4,208.4,222.4,70.8,78.3,77.3,109.5,93.4,116,98.8,113.8,149.3,95.5,25.7,168.6,53.6,242.8,241.7,168.6,157.9,116,125.6,113.8,110.6,78.3,90.2,91.2,146.1,220.2,222.4,229.9,199.8,206.3,163.3,183.7,129.9,157.9,140.7,318.1,274,351.4,265.4,75.1,89.1,219.2,231,254.6,217,55.8,70.8,54.7,41.8,269.7,243.9,279.4,262.2,218.1,184.8,59,200.9,207.3,251.4,239.6,260,110.6,234.2,222.4,94.5,225.6,212.7,194.4,247.1,124.6,261.1,247.1,292.3,370.7,94.5,90.2,64.4,188,34.3,151.4,121.3,125.6,57.9
BH152JB,184.8,192.3,182.6,89.1,60.1,285.8,286.9,7.4,20.3,275.1,105.2,141.8,124.6,141.8,110.6,110.6,108.4,363.2,391.2,171.9,140.7,155.7,165.4,270.8,277.2,170.8,193.4,176.2,195.5,181.5,175.1,160,238.5,141.8,206.3,213.8,344.9,272.9,252.5,36.4,192.3,139.6,102,141.8,299.8,146.1,86.9,97.7,119.2,294.4,114.9,168.6,293.3,289,200.9,213.8,99.8,113.8,265.4,274,272.9,347.1,301.9,190.1,260,298.7,333.1,249.3,277.2,133.2,266.5,146.1,155.7,154.7,149.3,358.9,368.6,356.8,353.5,225.6,220.2,214.9,162.2,128.9,131,262.2,234.2,131,141.8,122.4,231,222.4,193.4,146.1,82.6,153.6,66.5,283.7,284.7,96.6,122.4,129.9,154.7,250.3,234.2,245,256.8,186.9,203,235.3,178.3,134.2,140.7,265.4,110.6,108.4,50.4,57.9,49.3,353.5,170.8,157.9,222.4,126.7,121.3,246,92.3,214.9,164.3,143.9,120.3,198.7,337.4,333.1,260,123.5,268.6,167.6,192.3,197.7,294.4
BH77DW,172.9,180.5,171.9,94.5,70.8,275.1,276.1,20.3,6.3,263.2,94.5,129.9,113.8,129.9,136.4,122.4,135.3,351.4,379.3,160,166.5,181.5,191.2,258.9,265.4,159,181.5,164.3,183.7,169.7,164.3,148.2,226.7,129.9,194.4,202,334.2,262.2,241.7,47.2,180.5,127.8,112.7,152.5,289,134.2,76.2,85.9,107.4,282.6,103.1,178.3,281.5,277.2,189.1,203,88,103.1,253.6,262.2,261.1,335.3,291.2,178.3,248.2,286.9,322.4,237.4,266.5,121.3,254.6,134.2,143.9,142.8,137.5,347.1,356.8,346,341.7,214.9,208.4,203,150.4,154.7,156.8,250.3,222.4,119.2,129.9,110.6,219.2,210.6,181.5,156.8,71.9,141.8,55.8,272.9,272.9,84.8,111.7,118.1,143.9,238.5,223.5,233.1,245,211.6,228.8,261.1,204.1,123.5,128.9,253.6,98.8,96.6,39.6,47.2,38.6,342.8,159,146.1,211.6,116,109.5,271.8,103.1,204.1,153.6,132.1,131,209.5,325.6,321.3,248.2,111.7,256.8,155.7,180.5,186.9,282.6
BL97TD,104.1,99.8,106.3,193.4,241.7,31,46.1,275.1,264.3,7.4,266.5,283.7,269.7,243.9,178.3,196.6,178.3,124.6,152.5,198.7,203,218.1,202,56.8,64.4,236.4,253.6,271.8,291.2,120.3,122.4,131,57.9,229.9,99.8,99.8,127.8,89.1,74,262.2,104.1,220.2,245,268.6,61.1,148.2,219.2,223.5,202,70.8,186.9,159,96.6,36.4,224.5,254.6,210.6,224.5,41.8,49.3,48.2,108.4,64.4,134.2,69.7,84.8,120.3,113.8,47.2,174,24.6,249.3,248.2,175.1,163.3,141.8,151.4,139.6,136.4,96.6,109.5,109.5,152.5,191.2,193.4,248.2,218.1,211.6,147.1,171.9,148.2,176.2,159,289,269.7,340.6,253.6,46.1,60.1,208.4,233.1,256.8,223.5,66.5,90.2,73,60.1,240.7,214.9,250.3,233.1,223.5,195.5,33.2,199.8,178.3,239.6,227.8,232.1,136.4,239.6,228.8,65.4,231,219.2,165.4,218.1,95.5,267.5,253.6,263.2,341.7,120.3,116,35.3,193.4,52.5,122.4,92.3,96.6,77.3
