FID,LSOA21CD,GlobalID,x,y
1,E01000001,38ad8fe8-682a-4533-b51a-16c9ca366294,532181.7642,181792.2818
2,E01018945,0681c038-f7dd-4a2e-83c1-c8d3b32443f6,202699.4208,65668.0220999997
3,E01000120,e5ffc70b-0e24-40a9-afe8-13da1ec4032e,528823.5718,194238.046599999
4,E01031487,17c7f13f-1a6a-45c5-a5cc-2c50e725c799,486282.4085,106971.9143
5,E01021013,f55e8508-e975-4025-896c-a270de41fc79,583256.5228,111412.975500001
6,E01023096,70aa5db0-c94c-4f58-b3c8-8d2b22481a40,487296.6406,155760.342
7,E01009311,7870373f-0e3a-4c12-bc57-7dcd9a6be0c5,414202.839,287490.5832
8,E01002870,c763cab4-21f0-438e-a644-0fda6d16e181,523916.5218,180584.5584
9,E01004752,84c582a6-21ec-4539-b947-726d47081b42,529223.3651,178362.2436
10,E01024004,6bc371b6-5cf2-484a-ab40-28b93f012bca,603456.005,142341.028999999
11,E01030357,95f50d4d-340d-4ade-bbbb-6e83ab4a02ec,509971.7877,166759.6063
12,E01004277,10fb8fe1-c134-4adc-94ad-dad20c34362f,537099.405,180494.2204
13,E01031691,68ce4cb2-5ab5-4e07-9ae3-f2419d65b222,516843.1478,131096.800000001
14,E01016480,b0cbe375-9ab7-4a8c-ada3-dfb5b25b4fa3,501898.8629,177446.0974
15,E01020992,bd73c660-9a2e-40b9-ae93-24199e9f938b,580274.5269,109781.511700001
16,E01024314,68e2c9b3-3c4f-400b-9682-1713f2e83044,565719.2876,172631.006100001
17,E01002740,cf93a4da-d337-4f8c-9c70-76814e0d10bf,531701.0907,184962.8047
18,E01031796,44fe648a-ca5c-4698-92e9-e403ca14dd95,514005.6842,103508.646
19,E01029127,2f756d9b-17a0-4a59-936b-c4bd8c41cb23,345804.3226,153319.048599999
20,E01014512,5e776c0d-c7f8-4502-977c-513085c2ddd2,359257.1703,175400.8639
21,E01000250,9f6fadc5-ea6c-406d-9656-9c3d29a76797,524712.2518,196617.778999999
22,E01004417,fe54cdba-b419-4420-b376-3f26eecbf7d9,537567.5165,192378.8068
23,E01000633,24e23f15-cee7-4cda-867c-c8d1848ce5b4,518001.6526,184761.3134
24,E01001354,bffb9ae1-b230-4e3b-b6ec-f62941e34b92,519481.902,180120.560799999
25,E01016381,9a0849cd-d97f-4ae5-82e1-007dcc28d58a,468060.8077,174213.3037
26,E01001712,a0dfaba4-f558-43b1-859b-505686a90745,542857.3244,179107.937100001
27,E01024028,8076a2cb-b8e7-47cb-875d-61a2e8585ff8,599707.0431,142108.8399
28,E01002751,cf208f88-f498-4b9f-a2f0-387585b0309a,531022.5011,185918.112500001
29,E01021221,76afc0c4-dafe-4a1a-983d-747129fe8366,547306.41,120600.638800001
30,E01033132,d664e690-6e39-4b19-92f3-438c8608edba,528810.0872,177522.9363
31,E01003901,e58b7d0a-85bc-4fd1-9bfc-6c300b020d09,514294.1151,173057.9296
32,E01021117,61a091a7-4d30-436d-ac28-a99b7e562de7,592254.1048,120718.118799999
33,E01002733,b41a77e4-25ac-409d-b308-ae08a77e7f01,530395.4599,186416.7236
34,E01002289,088643db-8558-4d50-beb1-2384f70c07b6,554860.63,186465.8232
35,E01021165,00712ec9-0be7-47eb-a1fb-0343b9345e5e,545135.665,117956.247300001
36,E01014555,7fbd7749-9219-4f4a-860a-46fd889078fa,357562.4501,173071.764599999
37,E01035447,6f5b9dad-314f-4f96-a53c-f0baaf18265a,443712.3428,110485.761299999
38,E01003526,564d45ab-5b41-4333-a784-db2d82c7e2be,542383.9479,183352.5781
39,E01024383,749fa56f-655c-4c5b-b970-3590aa4e2b8c,575806.4566,156939.2018
40,E01021153,d70882be-8cc1-4f1c-93cb-9a8258cbd3ca,552245.6217,130095.326199999
41,E01021222,ecfbb337-dcfe-48f8-87c2-c58b8c9b9510,547611.3149,120730.960999999
42,E01014483,51d53b99-19d5-4927-a97e-d4911fa41e78,375530.0429,164260.3375
43,E01001887,5b4c33ff-552e-43ba-aaa1-fca5a759b609,523880.4265,177642.193
44,E01023973,c54dcd89-559e-4d38-ad41-022c623d7d08,602037.6218,141602.730599999
45,E01015343,678cf19f-fd22-453c-9ef3-6c225b783845,409925.3008,94850.0777000003
46,E01029281,b516179b-9244-4c4e-a3bf-ff60c04c0d1c,324371.2792,124067.5635
47,E01024660,279a9be1-a40d-4079-ae9c-5a88120c6f5e,636710.2256,171089.889799999
48,E01003679,75517b31-6db4-4616-9532-d97e92fbe0b5,542724.0023,189949.290899999
49,E01031351,ba03a198-5e30-4163-b1d9-3ceb8c78d5f2,523893.1914,106382.7952
50,E01002209,215c8652-6fc0-46c4-a0fd-25fca02fdd17,512903.0261,187757.481699999
51,E01003033,72504e92-9241-4a58-bcee-3f1874a5c0dc,529463.842,174681.8211
52,E01021130,906c0477-a1b5-49ce-95e0-e1379a7539c1,573636.178,108737.5799
53,E01002396,89dc3e81-2d60-4481-954a-df7822b8ef0c,510928.4197,181237.0699
54,E01020111,4aef783f-c8c7-406e-a2d8-4156852d3e49,251909.3272,147333.3664
55,E01004471,a40bd39c-c53a-4e49-aa8a-6d3c59917ef5,538546.5808,189655.6292
56,E01000561,eb47ee6d-082d-4875-abcb-1928f8f503ca,524414.1344,184830.015699999
57,E01014577,8c136428-69ed-4cd0-ab60-9e15b68f1bcb,361753.6979,176346.595100001
58,E01000008,39755709-3069-47ef-b83c-874c6b32b87d,543730.0701,184479.0448
59,E01034581,ad56b675-a4a8-4683-9488-68f8606cbf89,526942.0452,170047.2455
60,E01030679,2978a8f1-0696-448b-8c69-1f7a5a2ce6fc,501813.6597,163739.6252
61,E01015341,b20a5883-301b-49dd-9d0d-037c5ac835d2,412393.4476,94745.1223000009
62,E01015299,451882ae-f71a-48a4-a632-39c494cf976c,414559.883,92228.1673000008
63,E01016469,47e9d0f2-e268-4118-88b3-4ebb6d8bac5a,494204.3202,180783.915100001
64,E01020253,63d0fb91-5251-46e6-9b3a-7e41e35be4c7,287168.9879,74157.0220999997
65,E01022891,532899c4-dd61-491b-905c-44ecd4290f30,482542.8146,160431.6647
66,E01033381,e334d551-de5e-4d93-8c8a-b448cd2a9e10,463300.9642,100486.4025
67,E01024821,0f1a3659-5e95-4443-862d-b1aafd3bc5ef,559277.2583,139209.434900001
68,W01000461,205abce3-aa73-408a-ab25-1c8364c12a63,314246.5095,319461.1383
69,E01000489,91421090-bf6a-41e9-bf80-5d3e7a7c78c9,523180.1468,184253.778000001
70,E01017316,e45cc9a7-7487-4f00-b49d-68377afd7ba4,447831.1778,95242.7509000003
71,E01001046,32917295-1bce-4420-a112-14e285731125,533519.6887,165396.731000001
72,E01001840,a7391702-3f78-4501-8dcf-f67552283a14,535343.5422,184228.124199999
73,E01004008,2aa92053-619d-4ece-af95-03a0d7fb73ab,534319.1918,177004.1559
74,E01001163,f6d6912d-2ec0-44a5-8ff2-e2084d175a2b,531985.9972,170775.1033
75,E01024267,468b6225-5ada-4574-93bd-7da48494cb9c,571349.1191,172532.816
76,E01009477,a52cc2bf-8bc6-4827-a7e1-cba3d6496825,412065.7048,287168.246200001
77,E01001200,b1b3f881-4b22-4fcc-a0ab-e00f78489c19,520567.4156,180474.7149
78,E01024729,e37f7bee-8047-4753-9c18-5dd6b7ffe752,559609.6034,148004.2349
79,E01014978,30452d19-e5e5-423d-8dcd-8b43b0819752,362914.0746,180164.555500001
80,E01009041,57f7ba56-fcd6-428a-a2df-932d204e7f22,411006.3603,279831.788000001
81,E01030878,b1798bcb-3c36-46c7-8a70-4a1769a79706,491157.4119,143350.851399999
82,E01031816,375bc5a1-a15a-452a-b42e-7b8eb6ba6b6c,512746.5606,103079.240499999
83,E01002244,9fd6e663-11f7-4536-b781-c3a0fe746bcc,550365.3565,188813.99
84,E01000324,914b6ceb-69ed-441e-905c-b18d9465a94a,527229.8049,192138.7267
85,E01015027,ac286bc6-4836-4375-884b-5377fe5e8e00,248567.884,59967.8694000002
86,E01014841,0c24f14e-76d7-46ee-98a6-09a1c3a7670a,331212.433,162217.211100001
87,E01009161,4cc03c92-2b61-42ed-aaa3-10aa9b2abcc4,398255.442,278270.5594
88,E01031673,e7703a29-3151-4b56-a075-ed4393181862,519975.741,132340.821799999
89,E01016626,86e6e41a-efbc-445e-90fe-380007306249,480610.496,168604.8135
90,E01004649,41c12db8-7148-43f5-bda4-dca9ae8db694,526652.2312,183476.02
91,E01033728,29d163ef-68ac-45ac-a077-e4f00dbae8cf,537530.9002,177889.164000001
92,W01001459,963a18d4-f225-4273-80aa-26c01236af11,316343.1652,209304.708799999
