Stroke team,Type,Mean length of stay
Queens Hospital Romford HASU,Routinely admitting team,18.7
Royal London Hospital HASU,Routinely admitting team,17.6
Charing Cross Hospital HASU,Routinely admitting team,19.4
King's College Hospital HASU,Routinely admitting team,20.9
Princess Royal University Hospital HASU,Routinely admitting team,20.3
Northwick Park Hospital HASU,Routinely admitting team,16.7
St George's Hospital HASU,Routinely admitting team,20.7
University College Hospital HASU,Routinely admitting team,18.4
Northampton General Hospital,Routinely admitting team,22.6
Queen's Medical Centre - Nottingham,Routinely admitting team,16.4
Kings Mill Hospital,Routinely admitting team,12.9
Lincoln County Hospital,Routinely admitting team,11.6
Royal Derby Hospital,Routinely admitting team,16.6
Leicester Royal Infirmary,Routinely admitting team,18.8
Addenbrooke's Hospital,Routinely admitting team,17.9
Colchester General Hospital,Routinely admitting team,14.8
Ipswich Hospital,Routinely admitting team,12.2
James Paget Hospital,Routinely admitting team,17.1
Norfolk and Norwich University Hospital,Routinely admitting team,19.2
Peterborough City Hospital,Routinely admitting team,19.4
Queen Elizabeth Hospital Kings Lynn,Routinely admitting team,14.8
West Suffolk Hospital,Routinely admitting team,14.2
Bedford Hospital,Routinely admitting team,14
Luton and Dunstable Hospital,Routinely admitting team,12.6
Lister Hospital,Routinely admitting team,19.5
Basildon University Hospital,Routinely admitting team,16.4
Broomfield Hospital,Routinely admitting team,15.8
Southend Hospital,Routinely admitting team,19.1
Watford General Hospital,Routinely admitting team,13.3
Russells Hall Hospital,Routinely admitting team,12.9
New Cross Hospital,Routinely admitting team,17.8
Princess Royal Hospital Telford,Routinely admitting team,15.6
Royal Stoke University Hospital,Routinely admitting team,19.5
Sandwell District Hospital,Routinely admitting team,17.6
Warwick Hospital,Routinely admitting team,17.5
Birmingham Heartlands Hospital,Routinely admitting team,17.5
Good Hope General Hospital,Routinely admitting team,15.7
Queen Elizabeth Hospital Edgbaston,Routinely admitting team,17.6
University Hospital Coventry,Routinely admitting team,19
Worcestershire Royal Hospital,Routinely admitting team,21.7
Hereford County Hospital,Routinely admitting team,15.7
Countess of Chester Hospital,Routinely admitting team,21.6
Royal Liverpool University Hospital,Routinely admitting team,20
University Hospital Aintree,Routinely admitting team,16.8
Southport and Formby District General,Routinely admitting team,15.4
Whiston Hospital HASU,Routinely admitting team,17.5
Wirral Arrowe Park Hospital,Routinely admitting team,19.8
Chesterfield Royal,Routinely admitting team,15.4
Fairfield General Hospital,Routinely admitting team,20.5
Salford Royal Hospital,Routinely admitting team,21
Stepping Hill Hospital,Routinely admitting team,20.7
Hull Royal Infirmary,Routinely admitting team,18.2
Scunthorpe General Hospital,Routinely admitting team,10.3
York Hospital,Routinely admitting team,14.8
Blackpool Victoria Hospital,Routinely admitting team,19.2
Royal Blackburn Hospital,Routinely admitting team,18.7
Royal Preston Hospital,Routinely admitting team,16.5
Furness General Hospital,Routinely admitting team,18.3
Royal Lancaster Infirmary,Routinely admitting team,17.6
University Hospital of North Durham,Routinely admitting team,11.1
Royal Victoria Infirmary,Routinely admitting team,18.1
Cumberland Infirmary,Routinely admitting team,18.5
West Cumberland Hospital,Routinely admitting team,32.9
University Hospitals of North Tees and Hartlepool,Routinely admitting team,10.5
Northumbria Specialist Emergency Care Hospital HASU,Routinely admitting team,13.6
James Cook University Hospital,Routinely admitting team,17.5
Sunderland Royal Hospital,Routinely admitting team,20.2
Leighton Hospital,Routinely admitting team,21.6
Barnsley Hospital,Routinely admitting team,17.3
Doncaster Royal Infirmary,Routinely admitting team,19.5
Royal Hallamshire Hospital,Routinely admitting team,20.8
Bradford and Airedale SU,Routinely admitting team,19
Calderdale Royal Hospital,Routinely admitting team,16.3
Leeds General Infirmary,Routinely admitting team,17.4
Pinderfields Hospital,Routinely admitting team,18.8
Milton Keynes General Hospital,Routinely admitting team,18.6
St Peter's Hospital,Routinely admitting team,13.2
Epsom Hospital,Routinely admitting team,19
Frimley Park Hospital,Routinely admitting team,20.5
East Surrey Hospital,Routinely admitting team,20.9
Darent Valley Hospital,Routinely admitting team,12.5
Invicta Ward Kent and Canterbury Hospital,Routinely admitting team,13.9
Queen Elizabeth the Queen Mother Hospital,Routinely admitting team,16.8
William Harvey Hospital,Routinely admitting team,19.7
Maidstone District General Hospital,Routinely admitting team,16.6
Royal Cornwall Hospital,Routinely admitting team,16.1
North Devon District Hospital,Routinely admitting team,16.9
Royal Devon and Exeter Hospital,Routinely admitting team,13
Torbay Hospital,Routinely admitting team,14.4
Derriford Hospital,Routinely admitting team,21.2
Eastbourne District General Hospital,Routinely admitting team,25.8
Royal Sussex County Hospital,Routinely admitting team,16.7
St Richards Hospital,Routinely admitting team,15.9
Worthing Hospital,Routinely admitting team,14.3
