from_postcode,B152TH,B187QH,B46NH,B714HJ,B757RR,B95SS,B987UB,BA13NG,BA214AT,BB102PQ,BB23HH,BD206TD,BD96RJ,BH152JB,BH77DW,BL40JR,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,BS28HW,CA27HY,CA288JG,CB20QQ,CH21UL,CH495PE,CM17ET,CM201QX,CO45JL,CR77YE,CT13NG,CT94AN,CV107DJ,CV22DX,CV345BW,CW14QJ,DA28DA,DE130RB,DE223NE,DH15TW,DL36HX,DN157BH,DN25LT,DN332BA,DT12JY,DY12HQ,E111NR,E11BB,E138SL,E96SR,EN53DJ,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,GU27XX,HA13UJ,HG27SX,HP112TT,HP218AL,HR12ER,HU32JZ,HX30PW,IG38YB,IP332QZ,IP45PD,KT160PZ,KT187EG,KT27QB,L145AB,L355DR,L392JW,L78XP,L87SS,L97AL,LA144LF,LA14RP,LE15WW,LE39QP,LE54PW,LN25QY,LS13EX,LU40DZ,M130JH,M239LT,M68HD,M85RL,ME169QQ,ME75NY,MK429DJ,MK65LD,N181QX,N195NF,NE14LP,NE236NZ,NE340PL,NE639FL,NE77DN,NE96SX,NG174JL,NG51PB,NG72UH,NN15BD,NN168UZ,NR316LA,NR47UY,NW12BU,NW32QG,OL12JH,OL69RW,OX169AL,OX39DU,PE219QS,PE296NT,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,PR86PN,RG15AN,RG249NA,RH15RH,RH164EX,RM70AG,S102JF,S445BL,S602UD,S752EP,S810BD,SE136LH,SE17EH,SE184QH,SE59RW,SG14AB,SK103BL,SK27JE,SL24HL,SM51AA,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST163SA,ST46QG,SW109NH,SW170QT,SW36NP,SW66SX,SY38XQ,TA15DA,TF16TF,TN240LZ,TN24QJ,TN377RD,TQ27AA,TR13LQ,TS198PE,TS43BW,TW76AF,UB13HW,UB83NN,W120HS,W21NY,WA51QG,WC1N3JH,WD180HB,WF134HS,WF14DG,WF81PL,WN12NN,WR51DD,WS29PS,WV100QP,YO126QL,YO318HE
B152TH,0,5.4,6.6,12.2,18.5,8.9,23.5,148.6,204.4,188.1,182,215.1,209.5,264.2,255.7,157.3,161.9,263.7,299.8,272.8,251.6,128.2,163.8,133.9,314.6,328.8,168.4,155,168.8,237.4,200.4,274.2,201,301.3,324.3,44.2,46.2,44.9,95.7,233.6,55.4,68.7,316.2,282.6,193.5,158.3,236.3,264.8,19,200.9,199.5,212.8,200.5,178.5,247.8,278.8,202.3,80.9,199.7,205.9,178,225.8,143.7,127.5,82.5,225.2,194.9,208,208.7,250.4,184.8,206.2,194.5,153.7,144,159.1,156.5,156.5,158.8,277,205.7,74.3,77.9,80.1,149.6,195.5,140,137.1,128.8,147.1,144.5,264.3,260.1,136.7,120.5,192.8,188,336.4,350.2,337,362.4,341.6,329.9,110.4,94.1,87.7,100.6,91.8,297.3,256.9,193.2,189,155.3,149.8,72.8,112.4,180.1,134.8,198.3,140.5,314.9,264.8,267.3,241.3,179.8,169.5,177.6,179.3,219,257.5,220.7,141.6,123.6,144,164.3,139,206.2,196.3,218.4,200.2,167.5,107.1,142,162.4,215.1,127.7,215.7,195.4,189.5,327.3,245.1,230.2,47.6,71.5,187.6,199.7,187.8,189.6,81.5,201.5,58.9,298.6,259.4,298.4,278.1,395,289.4,285.3,182.3,176.7,167,182.7,186.1,128,194.7,170.4,186.6,181.4,177.8,146.3,38.1,19.1,26.6,286.5,219.2
B187QH,6,0,3.8,9.1,14.9,9.9,39.5,158,213.8,185,179,212,206.4,278.5,270,154.3,158.8,278,314.1,287.1,249,137.6,173.3,143.4,311.5,325.7,164.6,151.9,165.7,233.6,196.6,270.5,205.2,297.5,320.6,40.4,42.4,51.4,92.6,229.9,51.7,64.9,312.5,278.8,189.7,154.6,232.5,274.2,15.9,197.1,195.7,209,196.7,174.7,257.2,288.3,199.2,90.3,213.9,220.1,178.5,222.1,158,141.7,92,221.4,191.8,204.3,204.9,246.7,199,220.5,208.7,150.6,140.9,156,153.4,153.4,155.8,273.9,202.6,70.6,74.1,76.3,145.8,191.8,136.3,134,125.7,144,141.4,263.2,256.3,132.9,116.7,189.1,184.2,332.6,346.5,333.2,358.6,337.8,326.1,106.6,90.3,84,96.9,88.1,293.5,253.1,189.4,185.2,152.2,146.7,87,126.7,176.4,131,194.6,136.7,324.3,279.1,281.6,255.6,176.8,166.4,191.8,193.5,233.3,271.8,217,137.8,119.9,140.2,160.5,135.3,202.5,192.5,214.7,196.4,163.7,104,138.9,176.6,229.4,137.1,230,209.6,198.9,323.5,241.3,226.4,44.5,68.4,197,201.7,192.8,197.1,78.4,210.9,55.8,293,268.7,307.7,287.5,404.4,285.6,281.6,196.6,191,181.3,192.1,189.2,124.9,190.9,166.6,182.8,177.6,174.1,143.3,47.5,16,23.5,282.7,215.4
B46NH,7.8,3.6,0.4,11.5,14.2,6.1,27.6,156,211.9,187.5,181.5,214.5,209,276.4,267.8,156.8,161.3,275.9,312,284.9,246.8,135.7,171.3,141.4,314,328.2,162.5,154.4,168.2,231.5,194.5,268.3,203.1,295.4,318.4,38.3,40.3,49.3,95.1,227.8,49.5,62.8,310.3,276.7,187.6,152.5,230.4,272.2,18.3,195,193.6,206.9,194.6,172.6,255.3,286.3,201.7,88.4,211.8,218,176.4,219.9,155.9,139.6,90,219.3,194.4,202.2,202.8,244.5,196.9,218.4,206.6,153.2,143.4,158.6,156,155.9,158.3,276.5,205.1,68.4,72,74.2,143.7,189.7,134.1,136.6,128.2,146.6,143.9,261.1,254.2,130.8,114.6,186.9,182.1,330.5,344.3,331.1,356.5,335.7,324,104.5,88.2,81.8,94.8,86,291.4,251,187.3,183.1,154.7,149.2,84.9,124.5,174.2,128.9,192.4,134.6,322.4,277,279.5,253.5,179.3,168.9,189.7,191.4,231.2,269.6,214.9,135.7,117.8,138.1,158.4,133.1,200.3,190.4,212.5,194.3,161.6,106.5,141.4,174.5,227.3,135.2,227.8,207.5,196.9,321.4,239.2,224.3,47,70.9,194.9,199.6,190.6,195,80.9,208.9,58.3,290.9,266.6,305.6,285.5,402.5,283.5,279.4,194.5,188.9,179.2,190,187.1,127.4,188.8,164.5,180.7,175.5,172,145.8,45.6,18.5,26,280.6,213.3
B714HJ,12,8.9,11.5,0,15.5,19.5,38.4,156.8,212.6,178.7,172.7,205.7,200.2,282.5,274,148,152.5,282,318.1,291.1,255.6,136.4,172.1,142.2,305.2,319.4,171.2,145.7,159.4,240.3,203.3,277.1,211.8,304.1,327.2,47.1,49,63.1,86.3,236.5,49,62.2,303.1,269.5,180.4,145.2,223.2,273,12.1,203.8,202.4,215.7,203.4,181.3,256.1,287.1,193,89.1,217.9,224.2,185.1,212.7,162,145.8,90.8,212,185.6,210.9,211.6,253.3,203.1,224.5,212.7,144.4,134.6,149.8,147.2,147.2,149.5,267.7,196.3,77.2,80.8,83,152.5,182.4,142.9,127.8,119.5,137.8,135.2,269.8,262.9,139.6,123.4,195.7,190.9,323.3,337.1,323.9,349.2,328.5,316.8,97.2,97,90.6,103.5,94.7,300.2,259.8,196,191.9,145.9,140.4,91,130.7,183,137.6,201.2,143.4,323.1,283.1,285.6,259.6,170.5,160.1,195.9,197.6,237.3,275.8,223.6,128.5,110.5,130.9,151.2,125.9,209.1,199.1,221.3,203,170.4,97.7,132.6,180.7,233.4,135.9,234,213.7,197.7,314.2,248,233,38.3,62.1,203.6,208.3,199.4,207.9,72.1,209.7,49.5,299.6,277.7,316.7,286.3,403.2,276.3,272.2,200.6,195,185.3,198.7,195.8,118.6,197.6,173.3,173.5,168.3,164.7,137,46.3,8.7,15.7,273.4,206
B757RR,19,15.5,14.2,15.4,0,12.8,50.3,171.6,227.4,188.3,182.2,215.3,184,276.6,268.1,157.5,162.1,276.1,312.2,285.2,247.1,151.2,186.8,156.9,314.7,329,162.8,155.2,169,231.8,194.8,268.6,203.4,295.7,318.7,38.6,40.6,51.1,95.9,228,34.4,47.7,288.6,255,165.8,130.7,208.7,287.7,25.9,195.3,193.9,207.2,194.9,172.9,270.8,301.8,202.5,103.9,212,218.2,176.6,198.2,156.1,139.8,105.5,197.5,195.1,202.4,203.1,244.8,197.1,218.6,206.8,153.9,144.2,159.3,156.7,156.7,159,277.2,205.9,68.7,72.3,74.5,132.8,167.9,134.4,137.3,129,147.3,144.7,261.3,254.4,131.1,114.9,187.2,182.4,308.8,322.6,309.4,334.7,314,302.3,82.7,77.3,70.9,95,86.2,291.7,251.3,187.6,183.4,155.5,150,85.1,124.8,163.3,129.2,192.7,134.9,337.9,277.2,279.7,253.7,180,169.7,190,191.6,231.4,269.9,215.1,113.9,96,116.4,136.7,111.4,200.6,190.7,212.8,194.6,161.9,107.3,142.2,174.7,227.5,150.7,228.1,207.8,236.2,299.7,239.5,224.6,47.8,71.7,195.2,199.9,190.9,195.3,82.4,224.4,59.8,291.1,266.9,305.9,301.1,418,261.8,257.7,194.7,189.1,179.4,190.3,187.3,128.2,189.1,164.8,159,153.8,150.2,146.5,61.1,16.6,27.5,258.9,191.5
B95SS,9.1,10,6,19.5,12.7,0.2,40.9,159.6,215.4,190.9,184.9,217.9,202,267.2,258.7,160.2,164.7,266.7,302.8,275.8,243,139.2,174.9,145,317.4,331.6,158.7,157.8,171.6,227.7,190.7,264.5,199.3,291.6,314.6,34.5,36.5,41.6,98.5,223.9,47.2,60.5,306.5,272.9,183.8,148.6,226.6,275.8,23.9,191.2,189.8,203.1,190.8,168.8,258.9,289.9,205.1,91.9,202.6,208.9,172.5,216.1,146.7,130.4,93.6,215.5,197.7,198.3,199,240.7,187.7,209.2,197.4,156.5,146.8,161.9,159.3,159.3,161.7,279.8,208.5,64.6,68.2,70.4,139.9,185.8,130.3,139.9,131.6,149.9,147.3,257.2,250.3,127,110.8,183.1,178.3,326.7,340.5,327.3,352.7,331.9,320.2,100.7,84.4,78,90.9,82.1,287.6,247.2,183.5,179.3,158.1,152.6,75.7,115.4,170.4,125.1,188.6,130.8,325.9,267.8,270.3,244.3,182.7,172.3,180.6,182.2,222,260.5,211,131.9,113.9,134.3,154.6,129.3,196.5,186.6,208.7,190.5,157.8,109.9,144.8,165.4,218.1,138.7,218.7,198.4,226.8,317.6,235.4,220.5,50.4,74.3,191.1,195.8,186.8,192.6,84.3,212.5,61.7,287,262.3,301.4,289.1,406,279.7,275.6,185.3,179.7,170,186.2,183.2,130.8,185,160.7,176.9,171.7,168.1,149.2,49.1,21.9,29.4,276.8,209.5
B987UB,23.1,39.4,28,38,50.6,40.7,0,143,198.9,213.9,207.9,240.9,228.7,258.5,249.9,183.2,187.7,257.9,294.1,267,245.8,122.7,158.3,128.4,340.4,354.6,180.7,180.9,194.6,242.8,205.8,279.6,195.2,303,326,56.5,58.5,39.1,121.5,239.1,79.2,92.5,333.3,299.7,210.6,175.4,253.4,259.2,37.4,199.3,189.3,196,190.4,183.9,242.3,273.3,228.2,75.4,193.9,200.1,172.2,242.9,137.9,121.7,77,242.2,220.8,206.4,221.1,262.8,179,200.5,188.7,179.6,169.8,185,182.4,182.3,184.7,302.9,231.5,86.7,90.2,92.4,176.2,212.6,145.5,163,154.7,173,170.3,258.5,269,142.1,108.9,191.2,186.4,353.5,367.3,354.1,379.4,358.7,347,127.4,111.2,104.8,106.1,104.2,309.7,269.2,182.9,184.1,181.1,175.6,67,106.6,206.7,147.1,210.7,152.9,309.4,259,261.5,235.6,205.7,195.3,171.8,173.5,213.3,251.7,226.2,158.7,140.7,161.1,181.4,156.1,196,186,199.9,188.9,172.9,132.9,167.8,156.6,209.4,122.2,209.9,189.6,184,344.4,250.5,235.6,73.5,97.3,181.8,193.9,182,183.8,107.3,195.9,84.7,292.9,253.6,292.6,272.6,389.5,306.5,302.4,176.5,170.9,161.3,176.9,180.3,153.8,184.5,177.6,203.7,198.5,194.9,172.2,32.6,44.9,52.4,303.6,236.2
BA13NG,148.8,158.6,156.6,157.2,171.9,160.2,144.2,0,66,333.1,327.1,360.1,354.6,98.2,106,302.4,306.9,187.8,278.1,251,229.8,27.9,71.5,19.6,459.6,473.8,261.6,300.1,313.8,265.9,231.7,302.7,198.8,287,310,191,193,149.6,240.7,235.4,213.7,226.9,467.8,434.2,345,309.9,387.9,97.7,156.6,204.9,191.1,197.5,196.1,206.9,132.5,163.5,347.4,72.6,151.9,171.7,177.9,377.4,158.8,169,100.8,376.7,340,212.1,310.9,334.8,163,184.5,178.7,298.8,289,304.2,301.6,301.5,303.9,422.1,350.7,221.2,224.7,226.9,301.1,347.1,210.9,282.2,273.9,292.2,289.5,242.5,253,196.6,171.8,196.9,192,488,501.8,488.6,513.9,493.2,481.5,261.9,245.7,239.3,179.5,238.7,399.5,359.1,188.6,189.7,300.3,294.8,152.8,120.9,299.4,229.7,300.9,245.6,199.6,155.1,139.1,131.7,324.9,314.5,126.3,125.7,197.2,235.7,217.3,293.1,275.2,295.5,315.9,290.6,196.4,186.3,201.3,189.3,223,252.1,287,155.2,193.3,64.1,102.3,110.6,69.4,478.9,273.5,258.6,192.7,216.5,181.7,193.6,181.9,180.2,226.5,86.1,203.9,276.8,237.6,276.6,162.7,279.7,441,436.9,172.9,170.7,164.9,182.6,183.9,273,186.3,190.7,338.2,333,329.4,291.4,114.4,164.1,171.6,438.1,370.7
BA214AT,204.3,214.1,212.1,212.7,227.5,215.7,199.7,65.7,0,388.6,382.6,415.6,410.1,70.4,82.3,357.9,362.4,202.3,251.5,219.9,241.4,83.4,78.2,67.7,515.1,529.3,283.4,355.6,369.3,287.7,253.5,324.5,210.5,298.6,321.7,246.5,248.5,205.1,296.2,247,269.2,282.4,523.3,489.7,400.5,365.4,443.4,32.6,212.1,226.6,212.7,219.1,217.7,228.7,76.8,122.3,402.9,128.1,152.5,172.2,199.5,432.9,188.8,227.3,197.2,432.2,395.5,233.7,332.8,356.6,174.6,196.1,190.3,354.3,344.5,359.7,357.1,357.1,359.4,477.6,406.2,276.7,280.2,282.4,366.2,402.6,232.7,337.7,329.4,347.7,345.1,254.1,264.6,266.5,260.5,218.5,213.7,543.5,557.3,544.1,569.4,548.7,537,317.4,301.2,294.8,248.3,272,421.4,380.9,210.2,211.4,355.8,350.3,221.6,186.8,380.3,295.3,361.6,326.6,143.9,169.7,131.3,146.2,380.4,370,156,133.2,208.9,247.4,239,348.7,330.7,351.1,371.4,346.1,220.1,208,223,211,244.8,307.6,342.5,190.1,205,127.4,116.9,120.1,79,534.4,287.3,270.5,248.2,272,203.3,205.2,203.6,195.5,282,44.9,259.4,288.5,249.2,288.3,107,223.9,496.5,492.4,188.2,192.3,186.6,204.2,205.6,328.5,207.9,212.5,393.7,388.5,384.9,346.9,169.9,219.6,227.1,493.6,426.2
BB102PQ,186.7,183.6,186.5,177.5,187.1,189.6,213.1,331.5,387.3,0,23.2,25.4,43.4,455.2,446.7,50.3,30.8,454.7,490.8,463.7,425.7,311.1,346.8,316.9,183.2,197.4,299.9,106.4,97.3,410.3,373.3,385.8,381.9,474.2,497.3,217.1,219.1,228.1,101.1,406.6,165,169.4,162.9,129.3,142.6,110.8,185.5,447.7,183.7,373.8,372.4,385.7,373.4,351.4,430.8,461.8,71,263.8,390.6,396.8,355.2,63.5,334.7,318.4,265.5,153.2,36.7,381,340.3,382,375.7,397.2,385.4,89.6,76.3,72.2,87.2,89.5,82.4,145.7,74.4,216.4,211.4,221.1,173.8,60.1,313,57.3,63.5,48.8,40.4,439.9,433,309.6,293.4,365.7,360.9,183,196.9,183.6,209,188.3,176.5,152.2,171.8,173.9,273.6,264.8,371.3,327.5,366.1,361.9,46.9,50.2,263.7,303.3,224.5,269.6,267.2,244.2,497.8,455.8,458.3,432.3,48.5,67.1,368.5,370.2,410,448.4,393.7,100.5,118.3,116.3,91.5,135.7,379.2,369.2,391.3,373.1,340.4,76.2,60.4,353.3,406.1,310.6,406.6,386.3,372.4,174,418,403.1,144.6,118.1,373.7,378.4,369.5,373.8,172.3,384.4,164.3,469.7,445.4,484.4,461,577.9,143.9,139.8,373.3,367.7,358,368.8,365.9,67.5,367.6,343.3,81.1,76.5,84.5,56.3,221,169.7,176.3,180.7,98.3
